Gender	Age	Annual Income (k$)	Spending Score (1-100)
Female	32	80	79
Female	18	44	81
Male	18	30	79
Male	25	33	96
Male	37	65	52
Male	53	41	48
Female	44	83	76
Female	25	59	39
Female	54	57	40
Male	26	33	62
Male	19	39	92
Female	47	76	38
Female	27	98	43
Male	42	42	30
Male	43	43	50
Female	29	52	69
Male	47	50	58
Female	28	80	52
Female	45	45	39
Male	44	43	28
Male	51	112	60
Male	38	58	56
Male	33	97	61
Male	42	86	65
Male	34	46	72
Male	43	63	48
Female	52	81	60
Male	48	57	17
Female	47	36	49
Male	52	54	33
Female	50	88	46
Female	40	48	35
Female	18	30	93
Male	29	55	56
Female	20	58	81
Female	52	45	26
Female	18	36	91
Female	18	39	64
Male	33	70	52
Female	47	68	53
Male	55	51	40
Female	22	41	82
Female	34	64	44
Female	42	54	60
Female	21	41	99
Female	28	83	52
Male	58	38	21
Female	43	98	72
Female	43	46	30
Male	18	37	73
Female	59	42	34
Male	33	61	62
Male	30	38	76
Female	46	100	63
Female	44	41	36
Female	46	56	33
Female	44	116	57
Female	58	36	38
Female	54	56	37
Female	24	36	76
Male	32	44	67
Male	20	32	82
Female	39	89	58
Female	44	101	55
Female	51	51	11
Female	42	57	54
Female	55	56	36
Female	45	46	44
Male	32	21	73
Male	40	98	51
Female	51	70	59
Female	40	79	63
Female	33	88	43
Female	43	33	33
Female	37	100	56
Female	44	68	57
Female	21	18	85
Female	28	34	85
Female	26	55	83
Male	37	58	65
Female	20	29	58
Male	40	29	34
Male	19	30	68
Male	47	92	84
Male	48	42	19
Male	53	26	32
Female	59	39	25
Female	35	107	49
Male	33	52	67
Male	52	44	41
Male	49	59	20
Female	22	47	77
Male	48	76	44
Female	18	25	94
Female	18	49	78
Female	28	53	58
Female	39	67	66
Male	49	81	63
Female	37	112	64
Female	40	59	54
Male	25	36	80
Male	35	111	65
Male	18	43	69
Male	38	76	51
Female	23	36	67
Male	31	104	60
Male	19	48	85
Male	24	37	77
Female	38	48	46
Male	24	45	83
Male	23	41	73
Male	48	57	54
Male	36	114	61
Male	32	111	67
Male	18	42	80
Male	49	53	35
Female	45	73	60
Male	27	41	64
Male	30	76	71
Male	30	70	63
Male	25	36	84
Male	34	53	44
Male	25	68	41
Male	60	44	44
Male	52	97	64
Female	28	53	56
Male	55	51	24
Female	54	44	35
Male	59	57	22
Male	32	67	55
Female	52	61	41
Male	18	31	78
Female	32	100	52
Female	18	47	78
Male	28	67	48
Female	33	63	47
Female	18	34	79
Male	36	98	58
Male	18	48	62
Female	48	97	68
Male	46	62	28
Male	21	28	86
Male	18	31	75
Female	34	129	64
Female	36	69	71
Female	47	84	60
Female	40	51	56
Female	45	75	51
Male	40	38	28
Male	49	40	30
Female	58	45	28
Female	35	61	54
Male	42	111	53
Female	20	28	69
Female	18	31	69
Female	50	81	72
Male	23	28	95
Female	38	60	68
Male	55	123	81
Male	25	27	68
